date,customer_id,city_code,gtv_eur,revenue_eur,margin
2015-03-01,382,BCN,17.9,4.54545454545455,25.3936008125952
2015-03-17,213,BCN,5.5,4.54545454545455,82.6446280991736
2015-03-18,885,BCN,8.0,4.54545454545455,56.8181818181818
2015-03-18,501,BCN,50.0,4.54545454545455,9.09090909090909
2015-03-19,438,BCN,25.67,4.54545454545455,17.7072635194957
2015-03-21,272,BCN,11.9,4.54545454545455,38.1970970206264
2015-03-21,688,BCN,11.1,2.27272727272727,20.4750204750205
2015-03-23,240,BCN,28.99,4.54545454545455,15.6793878766973
2015-03-24,587,BCN,5.5,4.54545454545455,82.6446280991736
